Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AMD,"Adv Micro Devices",26.31,-0.060000000000002,-0.23%,26.99,25.81,41655295,"11:36 ET"
GG,"Goldcorp Inc",11.19,0.39,+3.61%,11.2,10.8,30400581,"11:36 ET"
BAC,"Bank of America Corp",26.99,-0.020000000000003,-0.07%,27.38,26.73,27702755,"11:36 ET"
NIO,"Nio Inc",5.4,-0.22,-3.91%,5.66,5.27,22989837,"11:35 ET"
ACB,"Aurora Cannabis Inc",9.38,0.35,+3.88%,9.43,8.75,19808639,"11:36 ET"
CHK,"Chesapeake Energy Corp",3.09,-0.03,-0.96%,3.14,2.99,19047423,"11:35 ET"
GE,"General Electric Company",9.98,0,0.00%,10.13,9.94,18379010,"11:36 ET"
AAPL,"Apple Inc",190.14,-0.91000000000003,-0.48%,192.76,187.25,17530666,"11:36 ET"
CRIS,"Curis Inc",1.89,0.46,+32.17%,2.89,1.89,14472569,"11:34 ET"
MU,"Micron Technology",40.88,-0.73999999999999,-1.78%,41.98,40.54,14310966,"11:36 ET"
NEM,"Newmont Mining Corp",35.19,0.69,+2.00%,35.3,34.5,11886012,"11:36 ET"
SIRI,"Sirius XM Holdings I",5.7,-0.06,-1.04%,5.8,5.7,11760613,"11:36 ET"
NOK,"Nokia Corp",5.88,0,0.00%,5.95,5.86,11304577,"11:34 ET"
GOLD,"Barrick Gold Corp",14.09,0.42,+3.07%,14.17,13.69,10667032,"11:35 ET"
ABEV,"Ambev S.A.",4.3,0.02,+0.47%,4.32,4.21,9857226,"11:36 ET"
F,"Ford Motor Company",8.61,0.07,+0.82%,8.65,8.5,9823785,"11:36 ET"
NCTY,"The9 Ltd",2.23,-0.29,-11.51%,4.78,2.02,9601603,"11:34 ET"
MSFT,"Microsoft Corp",117.91,0.86,+0.73%,118.01,116.32,9587956,"11:36 ET"
T,"AT&T Inc",30.89,-0.18,-0.58%,31.17,30.76,9071892,"11:36 ET"
VALE,"Vale S.A.",12.96,0.14,+1.09%,13.02,12.65,8936548,"11:36 ET"
CUZ,"Cousins Properties Inc",9.41,-0.47,-4.76%,9.59,9.24,8312506,"11:34 ET"
AVYA,"Avaya Holdings Corp",18.19,4.98,+37.70%,18.32,16.75,8161612,"11:36 ET"
